X,Y,ADDRTYPE,FATALITIES,INATTENTIONIND,INCDATE,YEAR,INJURIES,LIGHTCOND,PEDCOUNT,PEDCYLCOUNT,PEDROWNOTGRNT,PERSONCOUNT,ROADCOND,SERIOUSINJURIES,SEVERITYCODE,SEVERITYDESC,SPEEDING,UNDERINFL,VEHCOUNT,WEATHER,PEDORBIKECOUNT
-122.2906989,47.56977061,Intersection,0,Y,2016/10/11 00:00:00+00,2016,1,Daylight,1,0,,2,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.3432623,47.61145276,Block,0,,2016/10/22 00:00:00+00,2016,1,Dark - Street Lights Off,1,0,,4,Dry,0,2,Injury Collision,,N,2,Clear,1
-122.2928414,47.72379376,Block,0,,2016/09/16 00:00:00+00,2016,1,Daylight,1,0,,3,Dry,1,2b,Serious Injury Collision,,N,1,Clear,1
-122.3633204,47.69064044,Intersection,0,,2016/09/19 00:00:00+00,2016,1,Daylight,0,1,,3,Dry,0,2,Injury Collision,Y,N,1,Clear,1
-122.3207624,47.61296336,Intersection,0,Y,2016/09/12 00:00:00+00,2016,1,Daylight,0,1,,1,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.3019303,47.73201064,Intersection,0,,2016/10/11 00:00:00+00,2016,1,Daylight,1,0,,2,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.3921479,47.56476429,Intersection,0,,2016/10/20 00:00:00+00,2016,1,Dawn,0,1,,3,Wet,0,2,Injury Collision,,N,1,Raining,1
-122.3422837,47.63396883,Intersection,0,,2016/08/02 00:00:00+00,2016,1,Daylight,0,1,,2,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.3240692,47.63972666,Block,0,,2016/10/19 00:00:00+00,2016,1,Daylight,1,0,,5,Dry,0,2,Injury Collision,,N,4,Clear,1
-122.3016639,47.58295413,Block,0,,2016/09/29 00:00:00+00,2016,1,Daylight,0,1,Y,1,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.2812932,47.5370423,Intersection,0,,2016/09/23 00:00:00+00,2016,1,Dark - Street Lights On,1,0,Y,2,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.3167818,47.60268591,Intersection,0,,2016/08/12 00:00:00+00,2016,1,Daylight,0,1,,0,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.323242,47.70744141,Block,0,,2016/10/11 00:00:00+00,2016,1,Daylight,1,0,,2,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.2936267,47.7282107,Intersection,0,,2016/07/29 00:00:00+00,2016,1,Daylight,1,0,,3,Dry,0,2,Injury Collision,,N,2,Clear,1
-122.3604858,47.62029302,Block,0,,2016/11/18 00:00:00+00,2016,1,Daylight,1,0,,2,Dry,1,2b,Serious Injury Collision,,N,1,Overcast,1
-122.3295821,47.60747976,Intersection,0,Y,2016/09/02 00:00:00+00,2016,0,Dusk,1,0,,2,Dry,0,1,Property Damage Only Collision,,N,1,Clear,1
